jurisdiction,year,ipcc_code,Product,ets,ets_id,ets_price,ets_curr_code,tax,tax_id,tax_rate_excl_ex_clcu,tax_curr_code,tax_ex_rate,tax_2,tax_2_id,tax_2_rate_excl_ex_clcu,tax_2_curr_code
Vanuatu,1990,1A2E,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2E,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2F,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2F,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2F,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2G,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2G,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2G,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2H,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2H,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2H,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2I,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2I,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2I,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2J,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2J,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2J,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2K,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2K,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2K,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1990,1A2L,Coal,0.0,,,,0.0,,,,,,,,
