,"Québec Cap-and-Trade System",,,,,,,," ","Ontario Cap-and-Trade Program (2017-2018)",,,,,,,," ","Nova Scotia Cap-and-Trade Program (2019-2022)",,,,,," ","China National Emissions Trading System",,,," ","Shenzhen (Pilot) Emissions Trading System",,,,," ","Shanghai (Pilot) Emissions Trading System",,,,," ","Beijing (Pilot) Emissions Trading System",,,,," ","Guangdong (Pilot) Emissions Trading System",,,,," ","Tianjin (Pilot) Emissions Trading System",,,,," ","Hubei (Pilot) Emissions Trading System",,,,," ","Chongqing (Pilot) Emissions Trading System",,,,," ","Fujian (Pilot) Emissions Trading System",,,," ","German National Emissions Trading System",,,," ","European Union Emissions Trading System (until 2018)",,,," ","European Union Emissions Trading System (from 2019, download)",,,,," ","Korean Emissions Trading System",,,,," ","New Zealand Emissions Trading System (Up to 2023)",,,,,,,," ","New Zealand Emissions Trading System (From 2024)",,,,,,,," ","Washington Cap-and-Invest Program (download)",,,,,,,,," ","California Cap-and-Trade Program (download)",,,,,,,,,," "
2025-03-06,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,89.99," ",0.127608302,0.137903861,CNY,,42," ",0.127608302,0.137903861,CNY,,71," ",0.127608302,0.137903861,CNY,,80," ",0.127608302,0.137903861,CNY,,38.99," ",0.127608302,0.137903861,CNY,,34," ",0.127608302,0.137903861,CNY,,38.21," ",0.127608302,0.137903861,CNY,,36.14," ",0.127608302,0.137903861,CNY,31.24," ",,,,," ",,,,," ",1,1.080680952,EUR,66.58,," ",0.000635125,0.000686368,KRW,,9300," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,62.2," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-07,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,89.99," ",0.127608302,0.137903861,CNY,,46," ",0.127608302,0.137903861,CNY,,72," ",0.127608302,0.137903861,CNY,,80," ",0.127608302,0.137903861,CNY,,38.04," ",0.127608302,0.137903861,CNY,,37.2," ",0.127608302,0.137903861,CNY,,38.26," ",0.127608302,0.137903861,CNY,,36.14," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,67.77,," ",0.000635125,0.000686368,KRW,,9230," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,61.83," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-10,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,87," ",0.127608302,0.137903861,CNY,,46," ",0.127608302,0.137903861,CNY,,72," ",0.127608302,0.137903861,CNY,,80," ",0.127608302,0.137903861,CNY,,37.45," ",0.127608302,0.137903861,CNY,,37.2," ",0.127608302,0.137903861,CNY,,38.2," ",0.127608302,0.137903861,CNY,,36.14," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,68.18,69.69," ",0.000635125,0.000686368,KRW,,9180," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,61.71," ",0.925342487,1,USD,,,,,,53.25," ",0.925342487,1,USD,,,,,,,30.88," "
2025-03-11,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,85," ",0.127608302,0.137903861,CNY,,46," ",0.127608302,0.137903861,CNY,,72," ",0.127608302,0.137903861,CNY,,80," ",0.127608302,0.137903861,CNY,,37.88," ",0.127608302,0.137903861,CNY,,38," ",0.127608302,0.137903861,CNY,,38.3," ",0.127608302,0.137903861,CNY,,39.75," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,67.02,," ",0.000635125,0.000686368,KRW,,9160," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,61.82," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-12,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,85.35," ",0.127608302,0.137903861,CNY,,42.1," ",0.127608302,0.137903861,CNY,,78," ",0.127608302,0.137903861,CNY,,96," ",0.127608302,0.137903861,CNY,,37.64," ",0.127608302,0.137903861,CNY,,38," ",0.127608302,0.137903861,CNY,,38.15," ",0.127608302,0.137903861,CNY,,36," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",,,,,," ",0.000635125,0.000686368,KRW,9100,9150," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,61.63," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-13,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,87.81," ",0.127608302,0.137903861,CNY,,42.1," ",0.127608302,0.137903861,CNY,,75," ",0.127608302,0.137903861,CNY,,108," ",0.127608302,0.137903861,CNY,,37.83," ",0.127608302,0.137903861,CNY,,38," ",0.127608302,0.137903861,CNY,,38.95," ",0.127608302,0.137903861,CNY,,37.3," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,68.2,," ",0.000635125,0.000686368,KRW,,9040," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,60.83," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-14,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,87," ",0.127608302,0.137903861,CNY,,42.1," ",0.127608302,0.137903861,CNY,,71," ",0.127608302,0.137903861,CNY,,102," ",0.127608302,0.137903861,CNY,,40.6," ",0.127608302,0.137903861,CNY,,41," ",0.127608302,0.137903861,CNY,,38.85," ",0.127608302,0.137903861,CNY,,37.3," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,68.65,," ",0.000635125,0.000686368,KRW,,9000," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,60.18," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-17,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,88," ",0.127608302,0.137903861,CNY,,42.1," ",0.127608302,0.137903861,CNY,,71," ",0.127608302,0.137903861,CNY,,102," ",0.127608302,0.137903861,CNY,,38.46," ",0.127608302,0.137903861,CNY,,41," ",0.127608302,0.137903861,CNY,,38.85," ",0.127608302,0.137903861,CNY,,37.3," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,68.53,71.86," ",0.000635125,0.000686368,KRW,,8980," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,60.17," ",0.925342487,1,USD,,,,,,56.04," ",0.925342487,1,USD,,,,,,,30.61," "
2025-03-18,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,," ",0.127608302,0.137903861,CNY,,45," ",0.127608302,0.137903861,CNY,,78," ",0.127608302,0.137903861,CNY,,102," ",0.127608302,0.137903861,CNY,,38.8," ",0.127608302,0.137903861,CNY,,37.5," ",0.127608302,0.137903861,CNY,,38.78," ",0.127608302,0.137903861,CNY,,37.3," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,68.66,," ",0.000635125,0.000686368,KRW,,8910," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,59.83," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-19,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,," ",0.127608302,0.137903861,CNY,,45," ",0.127608302,0.137903861,CNY,,74.84," ",0.127608302,0.137903861,CNY,,102," ",0.127608302,0.137903861,CNY,,39," ",0.127608302,0.137903861,CNY,,38.23," ",0.127608302,0.137903861,CNY,,38.47," ",0.127608302,0.137903861,CNY,,37.3," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,71.35,," ",0.000635125,0.000686368,KRW,,8850," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,68,193,242,59.66," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-20,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,85.69," ",0.127608302,0.137903861,CNY,,45," ",0.127608302,0.137903861,CNY,,73.79," ",0.127608302,0.137903861,CNY,,102," ",0.127608302,0.137903861,CNY,,38.58," ",0.127608302,0.137903861,CNY,,39," ",0.127608302,0.137903861,CNY,,38.75," ",0.127608302,0.137903861,CNY,,37.3," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,71.54,," ",0.000635125,0.000686368,KRW,,8780," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,59.93," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-21,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,85.65," ",0.127608302,0.137903861,CNY,,45," ",0.127608302,0.137903861,CNY,,79.73," ",0.127608302,0.137903861,CNY,,102," ",0.127608302,0.137903861,CNY,,39.48," ",0.127608302,0.137903861,CNY,,39," ",0.127608302,0.137903861,CNY,,39.05," ",0.127608302,0.137903861,CNY,,37.3," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,71.56,," ",0.000635125,0.000686368,KRW,,8680," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,59.13," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-24,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,85.46," ",0.127608302,0.137903861,CNY,,45," ",0.127608302,0.137903861,CNY,,83.04," ",0.127608302,0.137903861,CNY,,90," ",0.127608302,0.137903861,CNY,,41.13," ",0.127608302,0.137903861,CNY,,39," ",0.127608302,0.137903861,CNY,,38.57," ",0.127608302,0.137903861,CNY,,37.3," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,69.85,70.03," ",0.000635125,0.000686368,KRW,,8630," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,57," ",0.925342487,1,USD,,,,,,59.47," ",0.925342487,1,USD,,,,,,,31.16," "
2025-03-25,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,83.3," ",0.127608302,0.137903861,CNY,,45.06," ",0.127608302,0.137903861,CNY,,91.34," ",0.127608302,0.137903861,CNY,,90," ",0.127608302,0.137903861,CNY,,41.6," ",0.127608302,0.137903861,CNY,,38.6," ",0.127608302,0.137903861,CNY,,38.54," ",0.127608302,0.137903861,CNY,,39.6," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,69.61,," ",0.000635125,0.000686368,KRW,,8800," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,54.67," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-26,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,85.34," ",0.127608302,0.137903861,CNY,,46," ",0.127608302,0.137903861,CNY,,91.34," ",0.127608302,0.137903861,CNY,,88," ",0.127608302,0.137903861,CNY,,40.07," ",0.127608302,0.137903861,CNY,,38.6," ",0.127608302,0.137903861,CNY,,38.32," ",0.127608302,0.137903861,CNY,,43.5," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",,,,,," ",0.000635125,0.000686368,KRW,,9040," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,56.58," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-27,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,84.37," ",0.127608302,0.137903861,CNY,,47.33," ",0.127608302,0.137903861,CNY,,82.21," ",0.127608302,0.137903861,CNY,,88.33," ",0.127608302,0.137903861,CNY,,40.08," ",0.127608302,0.137903861,CNY,,38.6," ",0.127608302,0.137903861,CNY,,38.35," ",0.127608302,0.137903861,CNY,,43.5," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,68.41,," ",0.000635125,0.000686368,KRW,,8980," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,57.25," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-28,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,84," ",0.127608302,0.137903861,CNY,,47.49," ",0.127608302,0.137903861,CNY,,74.68," ",0.127608302,0.137903861,CNY,,88.33," ",0.127608302,0.137903861,CNY,,40.01," ",0.127608302,0.137903861,CNY,,38.5," ",0.127608302,0.137903861,CNY,,38.73," ",0.127608302,0.137903861,CNY,,39.72," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,67.36,," ",0.000635125,0.000686368,KRW,,8980," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,58.38," ",,,,,,,,,," ",,,,,,,,,,," "
2025-03-31,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.127608302,0.137903861,CNY,84," ",0.127608302,0.137903861,CNY,,47.49," ",0.127608302,0.137903861,CNY,,74.78," ",0.127608302,0.137903861,CNY,,88.33," ",0.127608302,0.137903861,CNY,,41.79," ",0.127608302,0.137903861,CNY,,38.5," ",0.127608302,0.137903861,CNY,,38.6," ",0.127608302,0.137903861,CNY,,39.72," ",0.127608302,0.137903861,CNY,34.36," ",,,,," ",,,,," ",1,1.080680952,EUR,66.8,67.25," ",0.000635125,0.000686368,KRW,,9010," ",,,,,,,,," ",0.52967515,0.572409845,NZD,,,,,57.88," ",0.925342487,1,USD,,,,,,60.39," ",0.925342487,1,USD,,,,,,,30.24," "
2025-04-01,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,83.52," ",0.122127331,0.136952979,CNY,,47.49," ",0.122127331,0.136952979,CNY,,68.23," ",0.122127331,0.136952979,CNY,,88.33," ",0.122127331,0.136952979,CNY,,39.3," ",0.122127331,0.136952979,CNY,,38.5," ",0.122127331,0.136952979,CNY,,38.32," ",0.122127331,0.136952979,CNY,,39.72," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",1,1.121395,EUR,66.71,," ",0.00061742,0.000692372,KRW,,8980," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,56.44," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-02,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,83.22," ",0.122127331,0.136952979,CNY,,47.49," ",0.122127331,0.136952979,CNY,,68.23," ",0.122127331,0.136952979,CNY,,88.33," ",0.122127331,0.136952979,CNY,,40.05," ",0.122127331,0.136952979,CNY,,38.5," ",0.122127331,0.136952979,CNY,,38.42," ",0.122127331,0.136952979,CNY,,39.72," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",1,1.121395,EUR,68.62,," ",0.00061742,0.000692372,KRW,,8880," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,55.67," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-03,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,83.1," ",0.122127331,0.136952979,CNY,,45.17," ",0.122127331,0.136952979,CNY,,68.23," ",0.122127331,0.136952979,CNY,,92.3," ",0.122127331,0.136952979,CNY,,43.88," ",0.122127331,0.136952979,CNY,,38.8," ",0.122127331,0.136952979,CNY,,39.09," ",0.122127331,0.136952979,CNY,,39.72," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",1,1.121395,EUR,65.75,," ",0.00061742,0.000692372,KRW,,8740," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,56.33," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-07,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,83.19," ",0.122127331,0.136952979,CNY,,46.65," ",0.122127331,0.136952979,CNY,,68.71," ",0.122127331,0.136952979,CNY,,92.3," ",0.122127331,0.136952979,CNY,,40.32," ",0.122127331,0.136952979,CNY,,38.8," ",0.122127331,0.136952979,CNY,,38.54," ",0.122127331,0.136952979,CNY,,39.72," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",1,1.121395,EUR,59.76,," ",0.00061742,0.000692372,KRW,,8770," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,55.33," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-08,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,83.48," ",0.122127331,0.136952979,CNY,,44.66," ",0.122127331,0.136952979,CNY,,65.67," ",0.122127331,0.136952979,CNY,,92.3," ",0.122127331,0.136952979,CNY,,40.9," ",0.122127331,0.136952979,CNY,,38.8," ",0.122127331,0.136952979,CNY,,40.9," ",0.122127331,0.136952979,CNY,,39.72," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",1,1.121395,EUR,60.35,," ",0.00061742,0.000692372,KRW,,8700," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,54.95," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-09,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,83.5," ",0.122127331,0.136952979,CNY,,44.66," ",0.122127331,0.136952979,CNY,,65.67," ",0.122127331,0.136952979,CNY,,94.83," ",0.122127331,0.136952979,CNY,,40.91," ",0.122127331,0.136952979,CNY,,38.8," ",0.122127331,0.136952979,CNY,,38.34," ",0.122127331,0.136952979,CNY,,39.72," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",,,,,," ",0.00061742,0.000692372,KRW,,8660," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,54.83," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-10,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,83.09," ",0.122127331,0.136952979,CNY,,44.66," ",0.122127331,0.136952979,CNY,,64.97," ",0.122127331,0.136952979,CNY,,94.15," ",0.122127331,0.136952979,CNY,,40.09," ",0.122127331,0.136952979,CNY,,39.5," ",0.122127331,0.136952979,CNY,,38.6," ",0.122127331,0.136952979,CNY,,39.72," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",1,1.121395,EUR,62.08,," ",0.00061742,0.000692372,KRW,,8660," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,54.8," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-11,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,82.78," ",0.122127331,0.136952979,CNY,,46.94," ",0.122127331,0.136952979,CNY,,64.97," ",0.122127331,0.136952979,CNY,,94.15," ",0.122127331,0.136952979,CNY,,41.77," ",0.122127331,0.136952979,CNY,,40," ",0.122127331,0.136952979,CNY,,38.38," ",0.122127331,0.136952979,CNY,,39.72," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",1,1.121395,EUR,61.01,," ",0.00061742,0.000692372,KRW,,8790," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,54.6," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-14,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,82.38," ",0.122127331,0.136952979,CNY,,46.17," ",0.122127331,0.136952979,CNY,,63.45," ",0.122127331,0.136952979,CNY,,94.15," ",0.122127331,0.136952979,CNY,,40.02," ",0.122127331,0.136952979,CNY,,40," ",0.122127331,0.136952979,CNY,,38.11," ",0.122127331,0.136952979,CNY,,39.72," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",1,1.121395,EUR,64.6,," ",0.00061742,0.000692372,KRW,,8770," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,54.1," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-15,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,82.7," ",0.122127331,0.136952979,CNY,,46.17," ",0.122127331,0.136952979,CNY,,69.8," ",0.122127331,0.136952979,CNY,,94.15," ",0.122127331,0.136952979,CNY,,40," ",0.122127331,0.136952979,CNY,,40," ",0.122127331,0.136952979,CNY,,38.01," ",0.122127331,0.136952979,CNY,,43.69," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",1,1.121395,EUR,66.21,," ",0.00061742,0.000692372,KRW,,8740," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,50.83," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-16,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,82.06," ",0.122127331,0.136952979,CNY,,46," ",0.122127331,0.136952979,CNY,,76.28," ",0.122127331,0.136952979,CNY,,94.15," ",0.122127331,0.136952979,CNY,,39.84," ",0.122127331,0.136952979,CNY,,40," ",0.122127331,0.136952979,CNY,,38.02," ",0.122127331,0.136952979,CNY,,43.69," ",0.122127331,0.136952979,CNY,34.36," ",,,,," ",,,,," ",1,1.121395,EUR,65.98,," ",0.00061742,0.000692372,KRW,,8720," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,50.17," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-17,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,80.45," ",0.122127331,0.136952979,CNY,,41.5," ",0.122127331,0.136952979,CNY,,68.65," ",0.122127331,0.136952979,CNY,,94.15," ",0.122127331,0.136952979,CNY,,40," ",0.122127331,0.136952979,CNY,,40," ",0.122127331,0.136952979,CNY,,38.03," ",0.122127331,0.136952979,CNY,,43.69," ",0.122127331,0.136952979,CNY,30.92," ",,,,," ",,,,," ",1,1.121395,EUR,65.06,," ",0.00061742,0.000692372,KRW,,8710," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,50.42," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-18,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,79.03," ",0.122127331,0.136952979,CNY,,41.5," ",0.122127331,0.136952979,CNY,,68.65," ",0.122127331,0.136952979,CNY,,93," ",0.122127331,0.136952979,CNY,,40.31," ",0.122127331,0.136952979,CNY,,40," ",0.122127331,0.136952979,CNY,,37.99," ",0.122127331,0.136952979,CNY,,43.69," ",0.122127331,0.136952979,CNY,27.83," ",,,,," ",,,,," ",,,,,," ",0.00061742,0.000692372,KRW,,8710," ",,,,,,,,," ",,,,,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-21,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,78.3," ",0.122127331,0.136952979,CNY,,45.65," ",0.122127331,0.136952979,CNY,,68.65," ",0.122127331,0.136952979,CNY,,93," ",0.122127331,0.136952979,CNY,,39.66," ",0.122127331,0.136952979,CNY,,40," ",0.122127331,0.136952979,CNY,,38.55," ",0.122127331,0.136952979,CNY,,43.69," ",0.122127331,0.136952979,CNY,27," ",,,,," ",,,,," ",,,,,," ",0.00061742,0.000692372,KRW,,8670," ",,,,,,,,," ",,,,,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-22,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,77.38," ",0.122127331,0.136952979,CNY,,47," ",0.122127331,0.136952979,CNY,,75," ",0.122127331,0.136952979,CNY,,91.08," ",0.122127331,0.136952979,CNY,,43.5," ",0.122127331,0.136952979,CNY,,40," ",0.122127331,0.136952979,CNY,,37.62," ",0.122127331,0.136952979,CNY,,43.69," ",0.122127331,0.136952979,CNY,27," ",,,,," ",,,,," ",1,1.121395,EUR,63.3,," ",0.00061742,0.000692372,KRW,,8710," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,51.83," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-23,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,77.58," ",0.122127331,0.136952979,CNY,,47.5," ",0.122127331,0.136952979,CNY,,67.5," ",0.122127331,0.136952979,CNY,,80," ",0.122127331,0.136952979,CNY,,38.95," ",0.122127331,0.136952979,CNY,,39.8," ",0.122127331,0.136952979,CNY,,38.3," ",0.122127331,0.136952979,CNY,,43.69," ",0.122127331,0.136952979,CNY,27," ",,,,," ",,,,," ",,,,,," ",0.00061742,0.000692372,KRW,,8700," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,51.5," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-24,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,76.06," ",0.122127331,0.136952979,CNY,,48.23," ",0.122127331,0.136952979,CNY,,67.5," ",0.122127331,0.136952979,CNY,,96," ",0.122127331,0.136952979,CNY,,38.82," ",0.122127331,0.136952979,CNY,,39.5," ",0.122127331,0.136952979,CNY,,37.27," ",0.122127331,0.136952979,CNY,,43.69," ",0.122127331,0.136952979,CNY,27," ",,,,," ",,,,," ",1,1.121395,EUR,63.93,," ",0.00061742,0.000692372,KRW,,8720," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,50," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-25,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,75.03," ",0.122127331,0.136952979,CNY,,46," ",0.122127331,0.136952979,CNY,,67.5," ",0.122127331,0.136952979,CNY,,95," ",0.122127331,0.136952979,CNY,,38.2," ",0.122127331,0.136952979,CNY,,39.5," ",0.122127331,0.136952979,CNY,,37.37," ",0.122127331,0.136952979,CNY,,43.69," ",0.122127331,0.136952979,CNY,27," ",,,,," ",,,,," ",1,1.121395,EUR,65.89,," ",0.00061742,0.000692372,KRW,,8730," ",,,,,,,,," ",,,,,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-28,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,73.64," ",0.122127331,0.136952979,CNY,,46.75," ",0.122127331,0.136952979,CNY,,67.5," ",0.122127331,0.136952979,CNY,,91.05," ",0.122127331,0.136952979,CNY,,38.04," ",0.122127331,0.136952979,CNY,,39," ",0.122127331,0.136952979,CNY,,39.09," ",0.122127331,0.136952979,CNY,,35.75," ",0.122127331,0.136952979,CNY,24.3," ",,,,," ",,,,," ",1,1.121395,EUR,64.2,," ",0.00061742,0.000692372,KRW,,8760," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,48.72," ",,,,,,,,,," ",,,,,,,,,,," "
2025-04-29,,,,,,,,," ",,,,,,,,," ",,,,,,," ",0.122127331,0.136952979,CNY,72.77," ",0.122127331,0.136952979,CNY,,46.75," ",0.122127331,0.136952979,CNY,,67.5," ",0.122127331,0.136952979,CNY,,91.05," ",0.122127331,0.136952979,CNY,,38.07," ",0.122127331,0.136952979,CNY,,39," ",0.122127331,0.136952979,CNY,,37.29," ",0.122127331,0.136952979,CNY,,35.75," ",0.122127331,0.136952979,CNY,24.3," ",,,,," ",,,,," ",1,1.121395,EUR,63.55,," ",0.00061742,0.000692372,KRW,,8790," ",,,,,,,,," ",0.517734812,0.58058523,NZD,,,,,48.34," ",,,,,,,,,," ",,,,,,,,,,," "
