inst_1,inst_2,ipcc_code,year,source,comment
eu_ets,slo_tax,1A2L,2020,,
eu_ets,slo_tax,1A2M,2005,,
eu_ets,slo_tax,1A2M,2006,,
eu_ets,slo_tax,1A2M,2007,,
eu_ets,slo_tax,1A2M,2008,,
eu_ets,slo_tax,1A2M,2009,,
eu_ets,slo_tax,1A2M,2010,,
eu_ets,slo_tax,1A2M,2011,,
eu_ets,slo_tax,1A2M,2012,,
eu_ets,slo_tax,1A2M,2013,,
eu_ets,slo_tax,1A2M,2014,,
eu_ets,slo_tax,1A2M,2015,,
eu_ets,slo_tax,1A2M,2016,,
eu_ets,slo_tax,1A2M,2017,,
eu_ets,slo_tax,1A2M,2018,,
eu_ets,slo_tax,1A2M,2019,,
eu_ets,slo_tax,1A2M,2020,,
eu_ets,dnk_tax,1A1B,2005,,
eu_ets,dnk_tax,1A1B,2006,,
eu_ets,dnk_tax,1A1B,2007,,
eu_ets,dnk_tax,1A1B,2008,,
eu_ets,dnk_tax,1A1B,2009,,
eu_ets,dnk_tax,1A1B,2010,,
eu_ets,dnk_tax,1A1B,2011,,
eu_ets,dnk_tax,1A1B,2012,,
eu_ets,dnk_tax,1A1B,2013,,
eu_ets,dnk_tax,1A1B,2014,,
eu_ets,dnk_tax,1A1B,2015,,
eu_ets,dnk_tax,1A1B,2016,,
eu_ets,dnk_tax,1A1B,2017,,
eu_ets,dnk_tax,1A1B,2018,,
eu_ets,dnk_tax,1A1B,2019,,
eu_ets,dnk_tax,1A1B,2020,,
eu_ets,dnk_tax,1A1C,2005,,
eu_ets,dnk_tax,1A1C,2006,,
eu_ets,dnk_tax,1A1C,2007,,
eu_ets,dnk_tax,1A1C,2008,,
eu_ets,dnk_tax,1A1C,2009,,
eu_ets,dnk_tax,1A1C,2010,,
eu_ets,dnk_tax,1A1C,2011,,
eu_ets,dnk_tax,1A1C,2012,,
eu_ets,dnk_tax,1A1C,2013,,
eu_ets,dnk_tax,1A1C,2014,,
eu_ets,dnk_tax,1A1C,2015,,
eu_ets,dnk_tax,1A1C,2016,,
eu_ets,dnk_tax,1A1C,2017,,
eu_ets,dnk_tax,1A1C,2018,,
eu_ets,dnk_tax,1A1C,2019,,
eu_ets,dnk_tax,1A1C,2020,,
eu_ets,dnk_tax,1A1A3,2005,,
eu_ets,dnk_tax,1A1A3,2006,,
eu_ets,dnk_tax,1A1A3,2007,,
eu_ets,dnk_tax,1A1A3,2008,,
eu_ets,dnk_tax,1A1A3,2009,,
eu_ets,dnk_tax,1A1A3,2010,,
eu_ets,dnk_tax,1A1A3,2011,,
eu_ets,dnk_tax,1A1A3,2012,,
eu_ets,dnk_tax,1A1A3,2013,,
eu_ets,dnk_tax,1A1A3,2014,,
eu_ets,dnk_tax,1A1A3,2015,,
eu_ets,dnk_tax,1A1A3,2016,,
eu_ets,dnk_tax,1A1A3,2017,,
eu_ets,dnk_tax,1A1A3,2018,,
eu_ets,dnk_tax,1A1A3,2019,,
eu_ets,dnk_tax,1A1A3,2020,,
eu_ets,dnk_tax,4C1,2009,,
eu_ets,dnk_tax,4C1,2010,,
eu_ets,dnk_tax,4C1,2011,,
eu_ets,dnk_tax,4C1,2012,,
eu_ets,dnk_tax,4C1,2013,,
eu_ets,dnk_tax,4C1,2014,,
eu_ets,dnk_tax,4C1,2015,,
eu_ets,dnk_tax,4C1,2016,,
eu_ets,dnk_tax,4C1,2017,,
eu_ets,dnk_tax,4C1,2018,,
eu_ets,dnk_tax,4C1,2019,,
eu_ets,dnk_tax,4C1,2020,,
eu_ets,fin_tax,1A2A,2005,,
eu_ets,fin_tax,1A2A,2006,,
eu_ets,fin_tax,1A2A,2007,,
eu_ets,fin_tax,1A2A,2008,,
eu_ets,fin_tax,1A2A,2009,,
eu_ets,fin_tax,1A2A,2010,,
eu_ets,fin_tax,1A2A,2011,,
eu_ets,fin_tax,1A2A,2012,,
eu_ets,fin_tax,1A2A,2013,,
eu_ets,fin_tax,1A2A,2014,,
eu_ets,fin_tax,1A2A,2015,,
eu_ets,fin_tax,1A2A,2016,,
eu_ets,fin_tax,1A2A,2017,,
eu_ets,fin_tax,1A2A,2018,,
eu_ets,fin_tax,1A2A,2019,,
eu_ets,fin_tax,1A2A,2020,,
eu_ets,fin_tax,1A2B,2005,,
eu_ets,fin_tax,1A2B,2006,,
eu_ets,fin_tax,1A2B,2007,,
eu_ets,fin_tax,1A2B,2008,,
eu_ets,fin_tax,1A2B,2009,,
eu_ets,fin_tax,1A2B,2010,,
eu_ets,fin_tax,1A2B,2011,,
eu_ets,fin_tax,1A2B,2012,,
eu_ets,fin_tax,1A2B,2013,,
eu_ets,fin_tax,1A2B,2014,,
eu_ets,fin_tax,1A2B,2015,,
eu_ets,fin_tax,1A2B,2016,,
eu_ets,fin_tax,1A2B,2017,,
eu_ets,fin_tax,1A2B,2018,,
eu_ets,fin_tax,1A2B,2019,,
eu_ets,fin_tax,1A2B,2020,,
eu_ets,fin_tax,1A2C,2005,,
eu_ets,fin_tax,1A2C,2006,,
eu_ets,fin_tax,1A2C,2007,,
eu_ets,fin_tax,1A2C,2008,,
eu_ets,fin_tax,1A2C,2009,,
eu_ets,fin_tax,1A2C,2010,,
eu_ets,fin_tax,1A2C,2011,,
eu_ets,fin_tax,1A2C,2012,,
eu_ets,fin_tax,1A2C,2013,,
eu_ets,fin_tax,1A2C,2014,,
eu_ets,fin_tax,1A2C,2015,,
eu_ets,fin_tax,1A2C,2016,,
eu_ets,fin_tax,1A2C,2017,,
eu_ets,fin_tax,1A2C,2018,,
eu_ets,fin_tax,1A2C,2019,,
