Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Federated States of Micronesia,1990,1C1,,,,,,
Federated States of Micronesia,1990,1C1A,,,,,,
Federated States of Micronesia,1990,1C1B,,,,,,
Federated States of Micronesia,1990,1C1C,,,,,,
Federated States of Micronesia,1990,1C2,,,,,,
Federated States of Micronesia,1990,1C2A,,,,,,
Federated States of Micronesia,1990,1C2B,,,,,,
Federated States of Micronesia,1990,1C3,,,,,,
Federated States of Micronesia,1990,2,,,,,,
Federated States of Micronesia,1990,20,,,,,,
Federated States of Micronesia,1990,200,,,,,,
Federated States of Micronesia,1990,2000,,,,,,
Federated States of Micronesia,1990,20000,,,,,,
Federated States of Micronesia,1990,200000,,,,,,
Federated States of Micronesia,1990,2A,,,,,,
Federated States of Micronesia,1990,2A1,,,,,,
Federated States of Micronesia,1990,2A2,,,,,,
Federated States of Micronesia,1990,2A3,,,,,,
Federated States of Micronesia,1990,2A4,,,,,,
Federated States of Micronesia,1990,2A4A,,,,,,
Federated States of Micronesia,1990,2A4B,,,,,,
Federated States of Micronesia,1990,2A4C,,,,,,
Federated States of Micronesia,1990,2A4D,,,,,,
Federated States of Micronesia,1990,2B,,,,,,
Federated States of Micronesia,1990,2B1,,,,,,
Federated States of Micronesia,1990,2B10,,,,,,
Federated States of Micronesia,1990,2B2,,,,,,
Federated States of Micronesia,1990,2B3,,,,,,
Federated States of Micronesia,1990,2B4,,,,,,
Federated States of Micronesia,1990,2B5,,,,,,
Federated States of Micronesia,1990,2B6,,,,,,
Federated States of Micronesia,1990,2B7,,,,,,
Federated States of Micronesia,1990,2B8,,,,,,
Federated States of Micronesia,1990,2B8A,,,,,,
Federated States of Micronesia,1990,2B8B,,,,,,
Federated States of Micronesia,1990,2B8C,,,,,,
