fuel_name,ncv_tj_per_gg,co2_ef_kg_per_tj,source_id_ncv,source_id_co2_ef,notes
Sulphite lyes (black liquor) 10,11.8,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Sulphite lyes (black liquor)5,,95300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Waste Oil,,73300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Waste Oil ８,40.2,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
White Spirit & SBP,,73300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
White Spirit and SBP,40.2,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Wood/Wood Waste 9,15.6,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
diuqiL sleufoiB,,70800.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
ekoC,,107000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
enilosaG,,69300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
liO rehtO,,57600.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
sesaG devireD,,44400.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
sleufoiB diloS,,112000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
ssamoib saG,,54600.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
